Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Datejust 36,126234,Automatic,Steel,Steel,2024,New,Male,20405,400,Calibre24 Pty. Ltd.,3135,Green,None,126234,Unknown,Yes,Yes,Australia,East Perth
Submariner Date,16610,Automatic,Steel,Steel,2001,Used,Male,13750,90,Dovi & Co,3135,Black,None,16610,Very good,Yes,Yes,Australia,Melbourne
Sky-Dweller,326934,Automatic,Steel,Steel,2021,Used,Male,22888,880,HOUR VAULT,3135,White,None,326934,Good,Yes,Yes,Australia,Sydney
Oyster Perpetual 34,114200,Automatic,Steel,Steel,2010,Used,Male,7500,100,The Watch Business,3130,White,Arabic,114200,Good,No,Yes,Australia,Sydney
Datejust 36,1603,Automatic,Steel,Steel,1973,Used,Male,5990,0,Classic Time Club,1570,Silver,None,1603,Good,No,Yes,Australia,Sydney Nsw
Sky-Dweller,326935,Automatic,Rose gold,Rose gold,2015,Used,Male,72000,0,Unknown,Unknown,Brown,Roman,326935,Very good,Yes,Yes,Australia,New South Wales
Submariner,114060,Automatic,Steel,Steel,2014,Used,Male,16335,200,The Smiling Second,3130,Black,None,114060,Very good,Yes,Yes,Australia,Melbourne
Submariner Date,16610,Automatic,Steel,Steel,2000,Used,Male,12978,218,Watches to Watch,3135,Black,None,16610,Good,No,Yes,Denmark,Aalborg
GMT-Master II,126710BLNR,Automatic,Steel,Steel,2022,Used,Male,22437,0,Unknown,3186,Black,None,126710BLNR,Very good,Yes,Yes,India,Noida
Oyster Perpetual 36,1018,Automatic,Steel,Leather,1967,Used,Male,5650,0,Watch Vault,Unknown,,,1018,Fair,No,Yes,Australia,Mount Eliza
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2024,Used,Male,13200,400,Calibre24 Pty. Ltd.,3135,Silver,None,124300,Very good,Yes,Yes,Australia,East Perth
Lady-Datejust,No Reference,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,34800,0,Unknown,Unknown,,,279381RBR,Unknown,No,No,Unknown,Unknown
Lady-Datejust,279175,Automatic,Rose gold,Rose gold,2017,Used,Female,39995,90,Dovi & Co,Unknown,Gold,None,279175,Very good,Yes,Yes,Australia,Melbourne
Daytona,116515ln,Automatic,Rose gold,Rubber,2022,Used,Male,53888,880,HOUR VAULT,4130,Black,None,116515ln,Very good,Yes,Yes,Australia,Sydney
Explorer II,16570,Automatic,Steel,Steel,2005,Used,Male,11500,100,The Watch Business,3185,Black,None,16570,Good,Yes,Yes,Australia,Sydney
Datejust 36,126233,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Male,20500,179,Chrono Forever,3135,Gold,,126233,Fair,No,Yes,Australia,Parramatta
Submariner Date,116613LN,Automatic,Gold/Steel,Gold/Steel,2014,Used,Male,19999,100,DixonWatchCo,3135,Black,None,116613LN,Good,Yes,Yes,Australia,Sydney
Sea-Dweller 4000,116600,Automatic,Unknown,Unknown,Unknown,nan,Unknown,27500,0,Unknown,Unknown,,,4000,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,1500,Automatic,Steel,Steel,1970,Used,Male,6567,30,Precious Elements Pty Ltd,3035,Blue,None,1500,Good,Yes,Yes,Australia,Sydney
Submariner Date,16613,Automatic,Gold/Steel,Gold/Steel,1988,Like new & unworn,Male,13943,0,Unknown,Unknown,Blue,None,16613,Unknown,Yes,Yes,Mexico,Hacienda De Las Palmas
Explorer I,124270,Automatic,Steel,Steel,2022,Used,Male,11250,150,Harbour Time,Unknown,Black,Arabic,124270,Fair,No,Yes,Australia,New South Wales
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2019,Used,Male,33550,400,Calibre24 Pty. Ltd.,3186,Black,None,126710BLRO,Very good,Yes,Yes,Australia,East Perth
